sent_nr	sentence	question	answer
171	Adam hoped she was knocked out cold and wouldn't wake till morning.	-	-
172	Michael knew they never hit him and that was half the problem.	Did they ever hit Michael?	n
173	Alan told Jason he would just sit outside to have his lunch.	-	-
174	Now the man is coming who will give it back to me.	-	-
175	She threatened to leave before and this time she just had enough.	-	-
176	The first knife caught in her skirt and she shook it free.	Was she injured by the first knife?	n
177	The last thing Alex felt like doing after work was more work.	-	-
178	The truck was an older version of the ones the others drove.	Was the truck a new model?	n
179	They stared at the black wall and now this offered no comfort.	Was the wall black?	y
180	They were halfway through breakfast when a guard walked up with mail.	Had they finished breakfast when the mail arrived?	n
181	We should talk about the things people talk about on first dates.	-	-
182	Why don't you tell me what happened on Saturday, step by step.	-	-
183	Emma put her mug of tea down on the table with a bang.	Was there tea in the mug?	y
184	Benjamin dashed out of the door and glanced up and down the street.	Was Benjamin looking through the window?	n
185	Bruce is looking for someone to take the spare room in his flat.	Does Bruce need a flat mate?	y
186	From the moment we leave this spot be very careful what you say.	-	-
187	He knocked on the door so hard that he almost broke it down.	Did he break the door?	n
188	He let Donald go and he fell to the floor with a thud.	-	-
189	He smiled again and felt like a man and not just the kid.	Did he feel good about himself?	y
190	He's got the ability to work but he just gets bored too easy.	-	-
191	Her ambition offered no thought to the men standing behind and around her.	-	-
192	I can't see any amount of talk getting you out of this mess.	-	-
193	I flung out my hands and they said I had broken my wrists.	-	-
194	I mostly just pick a dry white and drink it to get drunk.	-	-
195	Andy felt good when he got ready to go out on Saturday night.	Did Andy plan to go out?	y
196	Arthur got in his truck and slammed his fist against the steering wheel.	-	-
197	Billy knocked on the door and waited till he was told to enter.	Did Billy rush in?	n
198	Bob sat at the entrance to the warehouse and made up a cigarette.	Does Bob smoke?	y
199	Brian sat down at an empty table and began to eat his breakfast.	Was there anyone else at the table?	n
200	Charlie walked home slowly so that he could smoke one of his cigarettes.	Was Charlie on his way to work?	n
201	One by one she placed her teeth about their necks and killed them.	Did she bite them?	y
202	The shout caught him off guard and he fell back a little way.	Was he startled by the shout?	y
203	They probably just talked about medieval folk music anyway and it was boring.	-	-
204	Within four months they moved in together to the flat on Shakespeare Road.	Did it take them half a year to move in together?	n
205	After only a night's journey by sea they had travelled into the South proper.	Did they travel by ship?	y
206	Every free man had a right to speak gathered at the calling of Council.	-	-
207	He had a headache and every drop sounded like an arrow piercing his skull.	Was he feeling all right?	n
208	He had money whenever he wanted it and still the best truck in town.	Was he poor?	n
209	He rose from his seat and stopped mid way when Joe glared at him.	-	-
210	He sat his son up on the table and laid his belt beside him.	-	-
211	If I have time at the end I'll fill you in on what happened.	-	-
212	Chris carefully carried Eddie to his truck and laid him on the back seat.	-	-
213	Colin drove into the garage to wash the truck and fill it with petrol.	-	-
214	David finally got to eat his lunch then went back to digging the trench.	-	-
215	Dennis noticed someone standing in front of him when he reached for another log.	-	-
216	Donald sat down at the kitchen table and fed his little sister her bottle.	-	-
217	Frank sighed and walked to the visiting room with his hands in his pockets.	-	-
218	Fred walked into the kitchen on Saturday morning to find his mother making breakfast.	-	-
219	George was led inside and they made him strip and gave him a uniform.	-	-
220	Harry was whistling and singing to himself for the whole of the next day.	-	-
221	Henry washed his hands and sat on the seat in front of the stove.	-	-
222	She tried hard to bring him up right and teach him right from wrong.	-	-
223	The bored soldier pressed a button which opened the gate and allowed them in.	-	-
224	The curious thing was, on the Friday night, that the garden gate was shut.	-	-
225	The first thing she noticed when she walked into the house was the silence.	-	-
226	The police officer got out of the van and picked up the two cans.	-	-
227	The speaker turned to her with a smile and a bow of his head.	-	-
228	They say he can breathe fire and kill a man with a single word.	-	-
229	When she had fallen, the witnesses to her death would have cut her apart.	-	-
230	He came back to his senses when he heard his dad stand up to him.	-	-
231	He could hear men shouting, screaming as though all of hell was at their heels.	-	-
232	He did as he was told and tucked in his shirt and straightened his tie.	-	-
233	He had jobs and lost jobs, he never had what you could call a career.	Did he ever have a real career?	n
234	He put his hand on the little boy's shoulder and gave it an encouraging squeeze.	-	-
235	He was already up and dressed and invited us in for a cup of tea.	-	-
236	His smile soon faded to a frown when he heard what Keith had to say.	Was he happy about what Keith told him?	n
237	I ask that my people be allowed to stay behind and tend to the wounded.	-	-
238	I haven't lost a single man though they're hardly in a fit state to fight.	-	-
239	I know Richard drinks a little too much and has a bit of a temper.	-	-
240	I remember an agent with no arms who could kill a man with his teeth.	-	-
241	If this were a movie instead of a book this would be a good bit.	-	-
242	If you haven't seen it yet all that means is you aren't looking hard enough.	-	-
243	Kevin had struck the belt across his legs and hit his fingers in the process.	-	-
244	Hugh got up and picked up the bucket and placed it back on the floor.	-	-
245	Ian sighed when Howard handed him the brush and sent him out to the yard.	Did Ian sigh?	y
246	James was only in the cell for an hour but it felt like a week.	Did James spend a week in the cell?	n
247	Somehow Jason just kept quiet and did as they told him without any smart comments.	-	-
248	That night he had never felt so scared since he had been sent to prison.	-	-
249	To his mum and dad he was just another mouth they couldn't afford to feed.	Were his parents wealthy?	n
250	A smart efficient looking girl in a military uniform sat behind a desk reading Heat magazine.	Was the girl behind the desk wearing a uniform?	y
251	Jane had worn a suit in the belief that it might make her look less suspicious.	Was Jane concerned about looking suspicious?	y
252	At ground level, by the wall, a ditch gathered water and dead rats crowded the ground.	-	-
253	He turned to the crowd who stood quietly waiting to see how the battle would turn.	-	-
254	He walked into the kitchen a while after dinner dressed in his best jeans and shirt.	-	-
255	I would not have you abandon what we have won to chase after that woman's life.	-	-
256	If they don't approach me at any of those places then we'll know they don't care.	-	-
257	Just as he was about to give up and go back he heard a second noise.	Was he going to go back before hearing the second noise?	y
258	No one had ever cared about him so much as to threaten his dad like that.	-	-
259	She is wearing a cardigan over a purple blouse and a faded old red cotton skirt.	Is her skirt new?	n
260	She was served by an incredibly striking girl with bright blue hair and a Polish accent.	Did the girl with the Polish accent have dyed hair?	y
261	The longer you waste time in talk, the more certain it is that you will lose.	-	-
262	They followed the stairs down two flights and walked through a door into a reception room.	Did they take the lift to go to the reception room?	n
263	We don't even need to build the boat, the native villagers have plenty that would do.	-	-
264	As soon as they taste cold steel they'll flee back to their mountains as they did before.	-	-
265	Don't tell me any more about the crime, in fact, don't tell me any more full stop.	-	-
266	He sets out to prove them wrong by holding down a job and trying to act responsible.	Did they think he was irresponsible?	y
267	In a moment, before anyone could stop him, he had driven his sword into his own stomach.	-	-
268	Joe had survived his first week of work and felt good to have money in his pocket.	-	-
269	Keith walked into the cell and climbed up on his bed and lay staring at the ceiling.	Did Keith fall asleep on his bed?	n
270	Douglas followed his father to his office and Kevin knew from looking in the window they were arguing.	Did Kevin follow his father to the office?	n
271	He had lived with his mother till she died after a long and painful fight with lung cancer.	-	-
272	He had to get himself in gear and stop getting into trouble and this time he meant it.	Was he determined to stop getting into trouble?	y
273	He had walked so far since the battle and every step now seemed to him like a year.	-	-
274	He put his hands to his sword and heard the song rush through his blood louder than ever.	Did he touch his sword?	y
275	He stared down the narrow pass as though expecting some challenge to issue from the mouth of it.	-	-
276	He walked up to the office and knocked on the door waiting till he was told to enter.	Did he run up to the office?	n
277	I didn't read the local papers and neither did my parents so I had not heard about it.	-	-
278	Luke kicked off his boots and shrugged off his jacket and slammed his cap down on the hook.	-	-
279	Malcolm woke Lewis at six in the morning and told him to wear his worst jeans and shirt.	Did Malcolm tell Lewis to dress smart?	n
280	Mark stopped in his tracks on the way to the table and stood in front of the stove.	-	-
281	Martin went to get washed up for lunch then spent the afternoon working on the extension with Mark.	-	-
282	The driver slowed down, pulled over and got out, which was really a terrible mistake on his part.	Did the driver slow down?	y
283	The people need a champion to follow, to open the wall in battle and give them an opening.	-	-
284	Whenever she and Clark had tried to talk just between the two of them the subject had wandered.	-	-
285	Colin and Julie walked across a parade ground past a lot of men walking around in uniform carrying guns.	Did Julie and Colin see a lot of children carrying guns?	n
286	Damian is not normally a man of action so now, stirred into action, he looks like he means business.	-	-
287	Derek reached for the statement and placed it in a more prominent position, the better to remember it later.	Did Derek want to make sure he wouldn't forget the statement?	y
288	Dick sat down at the table and took the cup of tea that Karen placed in front of him.	-	-
289	Henry came out of his office and found Neil standing against the wall with his hands in his pockets.	Was Henry in his office  before finding Neil?	y
290	He could tell by the look of him and his actions that Robert had been hitting the drink again.	-	-
291	He owned the garage in town and was trusted to do maintenance on all the cars in the village.	Was he an employee in the garage?	n
292	Rachel for no reason at all dropped the fish slice on the floor and ran from the room crying.	-	-
293	I am a man of the dead and I have felt the anguish of those passing through my hands.	-	-
294	Martin decided to step in when they asked everyone but Nigel along for a pint after work on Friday.	Did they invite Nigel to go for a pint after work?	n
295	Matt thought the best way to have a talk with Patrick would be to take him for a pint.	-	-
296	We could not keep them in the country, they had farms to return to, services drawing to an end.	-	-
297	As soon as I got off the phone with the pet store man I rang Gerry and told him everything.	Did Gerry receive a phone call?	y
298	Graham took a long drink from his beer as if to signal that that was an end to the matter.	Was Graham drinking wine?	n
299	Harvey longed for a son to carry on the family name and talked of little else in his letters home.	Did Harvey want to have a son?	y
300	He slumped down on the chair by the fire in a heap like his whole body had suddenly got heavy.	Was the chair close to the fire?	y
301	He stood up as straight as he could with his hands behind his back and tried not to look scared.	Was he scared?	y
302	He wrenched one arm from the man's grasp and used it to pull the man's ankles out from beneath him.	-	-
303	His lips were blue and though just conscious he was in no shape to walk, talk or even breathe well.	Were his lips red?	n
304	I considered it to be the minimum information I could give out in order to bring the situation under control.	-	-
305	The next night after tea and locked in the cell for the night, Paul decided to write to his mum.	-	-
306	The water of the river seems to battle against the army, dragging at their legs, trying to pull them under.	Was the river an obstacle to the army?	y
307	They had been allowing their voices to rise and as the debate continued the rest of the crowd caught on.	-	-
308	They stop in the nearest village to water the horses but the men must do without if they mind sharing.	-	-
309	To one side, out of sight of the priests on the steps of their temple, was a circle of stones.	Could the priests see the circle of stones?	n
310	We have been given this voice, in a language that is not our own, with which to tell our story.	-	-
311	He carries an axe as long as your arm and he can split a man from head to toe with it.	-	-
312	He ought to have seen the patrol coming, should have spotted their track, noticed the way the forest was on edge.	-	-
313	Sophie came back in and began to make Morgan his breakfast while he sat drinking his coffee and reading the paper.	Was Morgan preparing his breakfast?	n
314	My nose was and continues to be broken, also my ribs and legs were bruised after the collision with the wheelchair.	-	-
315	Putting himself between Fred and his dad could only do more harm than good at least that's what Neil told him.	-	-
316	They have never come this way before and so the hour of their arrival is strange if they wish to trade.	Have they been here before?	n
317	By the time he got home he was feeling a little light headed and felt like he could take on the world.	-	-
318	He made a funny noise and shook his head and raised his hands to indicate that he was useless at describing people.	-	-
319	Once he'd chopped just about half, he stuck the axe into the chopping block and made his way inside to have breakfast.	Did he chop the whole lot before breakfast?	n
320	Unlike the television in the kitchen or the chairs in the lounge or much in the flat, the stereo was not dusty.	Was the television in the kitchen dusty?	y
321	Kate propped herself up on her elbows, her wine glass standing in the tall grass besides her, and announced that we should talk.	-	-
322	He stood over the small sofa at the other end of his office and watched the small figure curl up under his jacket.	Was he lying on the sofa?	n
323	In the distance, the walls appeared as the outline of a great dragon, curled and sleeping, back to the wind and wings folded.	-	-
324	Peter went to bed giving himself his word that while Hugh wasn't around he'd look out for George as much as he could.	Did Peter give his word to Hugh that he would look out for George?	n
325	There was a pause, then the distant rattle of stone on stone, followed closely by its echo from the high mountain walls behind.	-	-
326	Ever devoted to his wife he was at her side in the delivery room when she gave birth to a baby girl in 1978.	-	-
327	Sue shook her head as she watched Nicholas give up on fighting to stay awake and fall asleep on the chair by the fire.	Did Sue see Nicholas falling asleep?	y
328	If you had asked him seconds after visiting the bar what colour the girl's hair was he would have probably turned around to look.	-	-
329	Phil ran up to the water tank, his mum would kill Nigel if she knew he'd sent him up the hill without a jacket.	-	-
330	The following day it was made clear to Laura, if not in so many words, that she really needed to be moving out soon.	-	-
331	The very streets seemed to know the gossip, it passed from head to head not by mouth but seemingly by sheer power of will.	-	-
332	Mary had absolutely no idea what the woman was talking about but there were few things that annoyed her more than adults reading children's books.	Did Mary like to see adults reading children's books?	n
333	Sarah is not in a wheelchair, she is not big and strong, top half or bottom, and she does not speak with an American accent.	-	-
334	He could see a paying job just about to slip out of his fingers and he knew he had to act fast to save it.	-	-
335	If he does decide to do anything, he'll fill their bones with fire, put ashes in their lights and blow them past the last river.	-	-
336	If you were coming from the high street you had to walk past three or four perfectly good pubs to get to The Three Cups.	-	-
337	Just as Margaret was setting out tea, Patrick came in still in his work clothes and washed his hands in the water in the basin.	Were they going to have tea?	y
338	Richard sat down on the chair in front of the stove and tucked into his tea with the warmth of the stove on his back.	-	-
339	There was no television in the lounge, there was a small one in the kitchen but in the lounge all seats faced the record player.	Was there a big television in the kitchen?	n
340	There was not an enemy within a hundred miles and they were trading a path their kind had not taken for many, many a year.	-	-
341	Susan would be a cat person, she wanted a pet that could look after itself and, if it loved her, would love her as an equal.	Did Suan want a dog?	n
342	Despite all the publicity he was getting there was still one thing Robert knew he had to do before he could clear his conscience for good.	-	-
343	He went to get on his boots and Ian stuck out his foot and Roger fell over it and landed on the floor with a thud.	-	-
344	Jenny went to the sitting room while Ross finished off his tea and washed up his dishes then went for a bath and straight to bed.	-	-
345	Sam slid down the wall and sat with his knees against his chest and folded his arms across them and put his head down on them.	Did Sam fold his arms across his knees?	y
346	Now that he was master, had his own affairs and his own men to command, he was less inclined to be ordered about by his wife.	-	-
347	For now we must go on with our lives and act as normal, which right now means drinking beer and talking rubbish like we used to do.	-	-
348	From here she could not see the gate but she knew that it would stand wide and gaping, welcoming the night in, and all that it held.	Could she see the gate?	n
349	He still felt a little drunk but not as bad as he was earlier but that didn't stop him falling in the door and waking everyone up.	-	-
350	I can't imagine what else you would have been talking to him about except a certain matter that I believe you said you would not talk about.	-	-
351	She also says to tell you that you will not be able to rely on the land, not once you are under the shadow of the walls.	-	-
352	Slowly, very slowly, he placed the tips of his fingers on the ground and felt the power flowing through the earth to the stones touch his ability.	-	-
353	The door was slammed shut behind him and Scott slid down the wall right to the floor not even noticing the two other men in the cell.	Were there three other men in the cell with Scott?	n
354	Caroline picked up the empty dishes from the table and piled them on the side of the sink and began to clean up the crumbs on the table.	Did Caroline put the empty dishes in the sink?	n
355	In the morning it felt good to get up and not have to wait for an inspection or get told when to go to the bathroom or have breakfast.	-	-
356	When she had gone to make a cup of tea she had noticed a small hair stuck to the moist lip of the kettle and, without thinking, had gone to remove it.	-	-
357	Simon lay staring at the ceiling again with his arms behind his head and thinking about his mum, he hoped she wasn't worrying too much and hoped they'd get to visit him soon.	Did Simon want his mum to visit him?	y
358	Paula tried to relax back into the pillow to drift off a little, to enjoy listening to the world, but the morning was shot, it was ruined and there was no getting it back.	-	-
359	He kept his stock books neat and checked them every day and Steve knew he urged his son Kenneth to be nothing less than respectable and made sure he was polite with their customers.	-	-
360	Tom walked into the visiting room glad that his mum was making it back to see him so quickly or at least when they told him he had a visitor he assumed it was his mum.	-	-
361	She seemed to show some interest in Tony fixing the truck and asked a lot of questions and even liked it when he let her fix some things and she didn't seem to mind getting covered in oil.	Did she get a chance to fix some things in the truck?	y
